씬ID(sceneId),선택지번호(choiceIndex),선택지텍스트(text),반응강조캐릭터(reactionActiveCharacters),반응하는캐릭터(reactionSpeaker),반응텍스트(reactionText),표시캐릭터1(reactionChar_left),표시캐릭터1표정(reactionEmotion_left),표시캐릭터2(reactionChar_center),표시캐릭터2표정(reactionEmotion_center),표시캐릭터3(reactionChar_right),표시캐릭터3표정(reactionEmotion_right),다음씬ID(nextSceneId),affectioncharacter1,affectionValue1,affectioncharacter2,affectionValue2,표시조건(show_if),명령어(command)
scenejan_8_b_choice,1,겸손하지 못하다는 걸 알 정도로는 겸손하답니다.,mendelssohn,,,mendelssohn,default,,,,,scenejan_9_b,mendelssohn,1,,,,
scenejan_8_b_choice,2,겸손할 필요가 없을 때의 오만은 정당화된 자신감이죠.,mendelssohn,,,mendelssohn,default,,,,,scenejan_9_b,,,,,,
scenejan_10_b_choice,1,생각이 다른 사람과 대화하는 건 언제나 즐겁거든요.,mendelssohn,,멘델스존의 눈이 조금 놀란 듯 커진다. 전혀 에상치 못했던 건지 그의 답이 반 박자 늦었다. ,mendelssohn,default,,,,,scenejan_11_b,mendelssohn,2,,,,
scenejan_10_b_choice,2,멘델스존 씨라면 저를 이기실지도 모르겠다는 생각이 들거든요.,mendelssohn,mendelssohn,"마음에도 없는 소리를 하는 건 현명하지 않습니다, 베시에르 양. ",mendelssohn,default,,,,,scenejan_12_b,mendelssohn,1,,,,
scenejan_10_b_choice,3,말싸움에서 이기는 건 늘 즐겁거든요.,mendelssohn,,멘델스존이 장난스레 눈을 흘겼다.,mendelssohn,default,,,,,scenejan_13_b,mendelssohn,-1,,,,
scenejan_14_b_choice,1,부탁드려요.,mendelssohn,,멘델스존은 고개를 끄덕이고 당신에게 팔을 내민다.,mendelssohn,default,,,,,scenejan_15_b,,,,,,
scenejan_14_b_choice,2,"아뇨, 시간이 남았으니 수다나 좀 더 떨죠.",mendelssohn,me,"그런데, '크게 손해를 볼 정도로 잘 만든 오페라는 아니' 라니, 그 말은 무슨 의미인가요? ",mendelssohn,default,,,,,scenejan_16_b,mendelssohn,1,,,,
scenejan_16_b_choice,1,"강요가 아니라면, 설득을 하실 생각이신가 보네요?",mendelssohn,mendelssohn,"네, 저 나름의 방식으로… 제 설득이 먹히지 않더라도 노력은 해 보고 싶어서요.",mendelssohn,default,,,,,scenejan_17_b,mendelssohn,2,,,,
scenejan_16_b_choice,2,그렇게 확고한 입장을 갖고서도 강요하지 않으신다니 너그러우시네요.,mendelssohn,mendelssohn,문득 '내가 오만했구나' 깨닫는 순간들이 있거든요. 가장 주의해야 하는 죄악이죠.,mendelssohn,default,,,,,scenejan_18_b,mendelssohn,1,,,,
scenejan_16_b_choice,3,조금은 더 열린 마음을 가져 보지 그래요?,mendelssohn,mendelssohn,노력하고 있습니다. 그러다가 제 기준을 타협하지 않도록 주의해야겠지만요.,mendelssohn,default,,,,,scenejan_19_b,mendelssohn,-1,,,,
scenejan_19_b_choice,1,칭찬이에요. 요즘 그런 사람 드물거든요.,mendelssohn,mendelssohn,그런 면에서 보자면 저는 시대에 뒤떨어지는 사람일지도 모르겠군요.,mendelssohn,default,,,,,scenejan_20_b,mendelssohn,1,,,,
scenejan_19_b_choice,2,비난이에요. 너무 꼿꼿한 나뭇가지는 쉽게 부러지는 법이죠.,mendelssohn,mendelssohn,진심 어린 쓴소리 해주시는 것으로 받아들이겠습니다.,mendelssohn,default,,,,,scenejan_22_b,,,,,,
scenejan_22_b_choice,1,... 어딜 봐서요?,mendelssohn,,,mendelssohn,default,,,,,,,,,,,
scenejan_22_b_choice,2,그렇지 않아요.,mendelssohn,,,mendelssohn,default,,,,,,,,,,,
scenejan_22_b_choice,3,처음 들어보는 말이에요.,mendelssohn,,,mendelssohn,default,,,,,,,,,,,
scenejan_22_b_choice,4,고마워요.,mendelssohn,,,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan_23_b_choice,1,정말 괜찮았어요. 오히려 즐거웠는걸요.,mendelssohn,,,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan_23_b_choice,2,"뭐, 놓쳐도 별로 손해보지 않는 오페라라면서요? 느긋하게 가죠.",mendelssohn,,,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan_23_b_choice,3,"사과, 받아드리죠.",mendelssohn,,,mendelssohn,default,,,,,,,,,,,
scenejan_5_c_choice,1,"흐음, 그런 걸로 하죠.",mendelssohn,mendelssohn,그런 걸로 하죠' 가 아니라 '그런 거' 라니까요.,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan_5_c_choice,2,아닌데-싫어하는 게 딱 보이는데요.,mendelssohn,mendelssohn,절대 착각입니다.,mendelssohn,default,,,,,,,,,,,
scenejan_6_c_choice,1,왜요?,mendelssohn,mendelssohn,…이 오페라만 봐도 제가 그 사람을 좋아할 이유라고는 도무지 보이지 않네요.,mendelssohn,default,,,,,,,,,,,
scenejan_6_c_choice,2,네.,mendelssohn,,,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan_7_c_choice,1,조금은 더 열린 마음을 가져 보지 그래요?,mendelssohn,mendelssohn,노력하고 있습니다. 그러다가 제 기준을 타협하지 않도록 주의해야겠지만요.,mendelssohn,default,,,,,scenejan_10_c,mendelssohn,-1,,,,
scenejan_7_c_choice,2,"강요가 아니라면, 설득을 하실 생각이신가 보네요?",mendelssohn,mendelssohn,"네, 저 나름의 방식으로… 제 설득이 먹히지 않더라도 노력은 해 보고 싶어서요.",mendelssohn,default,,,,,scenejan_8_c,mendelssohn,2,,,,
scenejan_7_c_choice,3,그렇게 확고한 입장을 갖고서도 강요하지 않으신다니 너그러우시네요.,mendelssohn,mendelssohn,문득 '내가 오만했구나' 깨닫는 순간들이 있거든요. 가장 주의해야 하는 죄악이죠.,mendelssohn,default,,,,,scenejan_9_c,mendelssohn,1,,,,
scenejan_10_c_choice,1,칭찬이에요. 요즘 그런 사람 드물거든요.,mendelssohn,mendelssohn,그런 면에서 보자면 저는 시대에 뒤떨어지는 사람일지도 모르겠군요.,mendelssohn,default,,,,,scenejan_11_c,mendelssohn,1,,,,
scenejan_10_c_choice,2,비난이에요. 너무 꼿꼿한 나뭇가지는 쉽게 부러지는 법이죠.,mendelssohn,mendelssohn,진심 어린 걱정 해주시는 것으로 받아들이겠습니다.,mendelssohn,default,,,,,scenejan_12_c,,,,,,
scenejan_13_c_choice,1, ... 어딜 봐서요?,mendelssohn,,,mendelssohn,default,,,,,,,,,,,
scenejan_13_c_choice,2,그렇지 않아요.,mendelssohn,,,mendelssohn,default,,,,,,,,,,,
scenejan_13_c_choice,3,처음 들어보는 말이에요.,mendelssohn,,,mendelssohn,default,,,,,,,,,,,
scenejan_13_c_choice,4,고마워요.,mendelssohn,,,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan_14_c_choice,1,수다를 좀 더 떨지 않으실래요?,mendelssohn,mendelssohn,지금 들어가셔야 시작 부분부터 보실 수 있으실 겁니다. 시마노프스카 부인께서도 기다리고 계실 테고요.,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan_14_c_choice,2,그러죠. 기쁜 마음으로.,mendelssohn,,,mendelssohn,default,,,,,scenejan_16_c,,,,,,
scenejan_6_d_choice,1,사람들의 행동을 관찰한다,,,,,,,,,,scenejan_7_d,,,,,,
scenejan_6_d_choice,2,아는 사람을 찾아본다,,,,,,,,,,scenejan_8_d,,,,,,
scenejan_8_d_choice,1,네?,szymanowska,,,szymanowska,무도회디폴트,,,,,scenejan_9_d,,,,,,
scenejan_8_d_choice,2,오래 사귀었나 봐요?,szymanowska,,,szymanowska,무도회디폴트,,,,,scenejan_9_d,,,,,,
scenejan_9_d_choice,1,어쩐지 심사가 복잡했다.,,,,,,,,,,scenejan_4,liszt,1,,,,
scenejan_9_d_choice,2,별로 놀랍지는 않았다.,,,,,,,,,,scenejan_4,liszt,-1,,,,
scenejan_9_d_choice,3,상관없다고 생각했다.,,,,,,,,,,scenejan_4,,,,,,
scenejan_4_choice,1,반가워요.,szymanowska,szymanowska,"예의를 챙겨주셔야죠, 리스트 씨.",liszt,default,szymanowska,default,,,scenejan_5_e,liszt,1,,,,
scenejan_4_choice,2,신기한 예법을 보여주시네요.,liszt,liszt,예술가들에게는 예술가들에게만 통용되는 예의가 있으니까요.,liszt,default,szymanowska,default,,,scenejan_5_f,,,,,,
scenejan_6_choice,1,자유' 를 중시하는 우리 신세대의 일원이신 거라고 해 둘까요?,liszt,,,liszt,default,szymanowska,default,,,,liszt,1,,,,
scenejan_6_choice,2,"어쩔 수 없죠, 보헤미안이시니.",liszt,,,liszt,default,szymanowska,default,,,,,,,,,
scenejan_7_choice,1,마음대로 하세요.,liszt,,"리스트는 감사의 뜻을 표하고 시가 끄트머리를 자른 뒤, 몸을 숙여 문 시가에 불을 붙인다.",liszt,default,szymanowska,default,,,scenejan_15,,,,,,
scenejan_7_choice,2,잘라드릴까요?,liszt,,,liszt,default,szymanowska,default,,,scenejan_8_choice,liszt,1,,,,
scenejan_7_choice,3,저도 한 대 주세요.,liszt,,,liszt,default,szymanowska,default,,,scenejan_12,,,,,,
scenejan_8_choice,1,그건 아니지만 한 번 해보고 싶었어서요.,liszt,liszt,"해보세요, 다 경험이죠.",liszt,default,szymanowska,default,,,scenejan_9,,,,,,
scenejan_8_choice,2,가끔 아버지 것을 잘라드렸죠.,liszt,liszt,그렇군요. 하면 부탁드리겠습니다.,liszt,default,szymanowska,default,,,scenejan_10,,,,,,
scenejan_8_choice,3,제가 피워서요.,liszt,liszt,하하하! ,liszt,default,szymanowska,default,,,scenejan_11,,,,,,
scenejan_12_choice,1,안 피워 봤는데 그냥 한 번 해 보고 싶어서요.,liszt,,,liszt,default,szymanowska,default,,,scenejan_13,,,,,,
scenejan_12_choice,2,좀 됐어요. ,liszt,,,liszt,default,szymanowska,default,,,scenejan_14,,,,,,
scenejan_15_choice,1,거대한 규모가 압도적이더군요. 무척 인상깊었습니다.,liszt,,,liszt,default,szymanowska,default,,,scenejan_16,liszt,1,mendelssohn,-1,,
scenejan_15_choice,2,오케스트레이션이 매력적이더군요. 여러 가지로 혁신적이네요.,liszt,,,liszt,default,szymanowska,default,,,scenejan_16,liszt,1,mendelssohn,-1,,
scenejan_15_choice,3,환상적인 소재를 사용했더군요. 비현실성이 고개를 갸우뚱하게 했습니다.,liszt,,,liszt,default,szymanowska,default,,,scenejan_17,mendelssohn,1,,,,
scenejan_15_choice,4,이 오페라에서 무엇을 배울 수 있을지 모르겠네요. 제게는 맞지 않나 봅니다.,liszt,,,liszt,default,szymanowska,default,,,scenejan_18,liszt,-1,mendelsohn,1,,
scenejan_19_choice,1,이모의 취향은 비난받아 마땅한 게 맞아요…,liszt,,,liszt,default,szymanowska,default,,,scenejan_20,liszt,1,,,,
scenejan_19_choice,2,사람마다 취향이 다르니까요. 둘이 입장 차이가 있는 것뿐이죠.,liszt,,,liszt,default,szymanowska,default,,,scenejan_22,,,,,,
scenejan_22_choice,1,남에게 자비를 베풀지 않고서 어찌 자비를 바랄 수 있겠나요.,liszt,,,liszt,default,szymanowska,default,,,scenejan_23,liszt,1,mendelssohn,-1,,
scenejan_22_choice,2,자비는 주는 자와 받는 자를 함께 축복하니 이중의 축복이죠.,liszt,,,liszt,default,szymanowska,default,,,scenejan_23,liszt,1,,,,
scenejan_21_choice,1,똑같이 윙크한다,szymanowska,szymanowska,에투아르.,liszt,default,szymanowska,default,,,scenejan_24,liszt,1,,,,
scenejan_21_choice,2,부채를 펼쳐 그의 시선을 막는다,liszt,,당신의 부채 레이스 너머로 씨익 미소짓는 리스트가 보였다.,liszt,default,szymanowska,default,,,scenejan_25,,,,,,
scenejan_25_choice,1,반박한다,liszt,,,liszt,default,szymanowska,default,,,scenejan_26,mendelssohn,1,,,,
scenejan_25_choice,2,동의한다,liszt,,,liszt,default,szymanowska,default,,,scenejan_28,liszt,1,,,,
scenejan_26_choice,1,"어머, 자신없으세요?",szymanowska,szymanowska,에투아르…,liszt,default,szymanowska,default,,,scenejan_27,liszt,-1,,,,
scenejan_26_choice,2,"글쎄, 그럴 리가 있을까요?",szymanowska,szymanowska,에투아르…,liszt,default,szymanowska,default,,,scenejan_27,liszt,1,,,,
scenejan_26_choice,3,…,szymanowska,szymanowska,리스트 씨.,liszt,default,szymanowska,default,,,scenejan_27,liszt,-1,,,,
scenejan_30_choice,1,별 말 안 했어요,szymanowska,szymanowska,"에투아르, 이모는… 네가 거짓말 할 때 다 안다.",szymanowska,default,,,,,scenejan_31,mendelssohn,-1,,,,
scenejan_30_choice,2,다음번에는 이모 없이 둘이서 보자던데요,szymanowska,szymanowska,시마노프스카의 부채 쥔 손에 힘이 들어간다. 금방이라도 부채를 망가뜨릴 것 같은 기세였다.,szymanowska,default,,,,,scenejan_31,,,,,,
scenejan_32_choice,1,어쩌면 결혼을 하지 않는 것도 나쁘지 않겠다는 생각이 들었다.,,,,,,,,,,,liszt,1,,,,
scenejan_32_choice,2,"서로에게 헌신하는 낭만적인 결혼은 정말 없는 걸까, 아쉬운 마음이 들었다.",,,,,,,,,,,mendelssohn,1,,,,
scenejan_33_choice,1,그가 원하는 대로 노골적으로 감상해 준다.,liszt,,,liszt,default,,,,,scenejan_34,liszt,1,,,,
scenejan_33_choice,2,부담스러우니 고개를 홱 돌린다.,liszt,,,liszt,default,,,,,scenejan_35,,,,,,
scenejan_34_choice,1,당신은 그의 초대에 기꺼이 응할 것이다.,liszt,,,liszt,default,,,,,scenejan_36,liszt,1,,,,
scenejan_34_choice,2,당신은 그에게 정중한 거절의 의사를 표할 것이다.,liszt,,,liszt,default,,,,,scenejan_36,mendelssohn,1,,,,
scenejan_36_choice,1,당연하지. 계속 멘델스존을 지켜본다,mendelssohn,,,mendelssohn,default,,,,,scenejan_37,mendelssohn,1,,,,
scenejan_36_choice,2,아닐 수도. 고개를 돌린다.,mendelssohn,,,mendelssohn,default,,,,,scenejan_41,,,,,,
scenejan_37_choice,1,당신은 씩 미소지었다.,mendelssohn,,,mendelssohn,default,,,,,scenejan_38,,,,,,
scenejan_37_choice,2,당신은 손을 흔들었다.,mendelssohn,,,mendelssohn,default,,,,,scenejan_39,mendelssohn,1,,,,
scenejan_41_choice,1,집에 가요,szymanowska,szymanowska,"그래, 얼른 가자. 이모 피곤하다.",,,,,,,scenejan_42,,,,,,
scenejan_41_choice,2,마저 보고 갈게요,szymanowska,szymanowska,"알겠어. 다 보자마자 마차 불러서 집으로 와야 해, 알았지?",,,,,,,scenejan_43,,,,,,
scenejan_43_choice,1,좋아요,liszt,,,liszt,,,,,,scenejan_44,liszt,1,,,,
scenejan_43_choice,2,그건 곤란해요,liszt,,,liszt,,,,,,scenejan_45,,,,,,
scenejan_46_choice,1,그렇게까지 폐를 끼칠 수는 없죠.,mendelssohn,,,mendelssohn,,,,,,scenejan_47,mendelssohn,1,,,,
scenejan_46_choice,2,배려 감사합니다. 부탁드리죠.,mendelssohn,,,mendelssohn,,,,,,scenejan_48,,,,,,
scenejan2_1_choice,1,팔레 루아얄에 가기로 결심한다,,,,,,,,,,scenejan2_2,,,,,,
scenejan2_1_choice,2,호기심을 버린다,,,,,,,,,,scenejan2_200,,,,,,
scenejan2_1_choice,3,다음 이벤트로 스킵 (개발자용),,,,,,,,,,scenefeb_ending,,,,,,
scenejan2_2_choice,1,멘델스존의 초대를 받아들인다,,,"음, 아주 좋은 기회였다! 당신은 잉크와 펜을 가져와서 빠르게 답장을 대충 써 보낸다.",,,,,,,,mendelssohn,1,,,,
scenejan2_2_choice,2,멘델스존의 초대를 거절한다,,,,,,,,,,scenejan2_5,mendelssohn,-1,,,,"set palaisroyaleentry as ""refused"""
scenejan2_3_choice,1,입을 꾹 닫고 필요한 말만 한다,,,당신의 불편한 침묵을 느꼈는지 멘델스존도 가시방석인 듯했다. 그는 당신의 몫까지 능란하게 대화를 주도하며 분위기를 띄우려고 애썼다.,mendelssohn,default,,,,,,mendelssohn,-1,,,,
scenejan2_3_choice,2,최대한 사근사근하게 응대한다,,,…그래도 기가 빨리는 것은 어쩔 수 없었다.,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan2_4_choice,1,멘델스존에게 팔레 루아얄에 같이 가보자고 한다,,,,mendelssohn,default,,,,,scenejan2_6,mendelssohn,-1,,,,"set palaisroyaleentry as ""suggested"""
scenejan2_4_choice,2,멘델스존 몰래 탈주한다,,,,mendelssohn,default,,,,,scenejan2_7,mendelssohn,-2,,,,"set palaisroyaleentry as ""runaway"""
scenejan2_4_choice,3,그냥 남아 있는다,,,,mendelssohn,default,,,,,scenejan2_8,mendelssohn,1,,,,
scenejan2_8_choice,1,아무거나 부탁드려요,,,"나름 최선을 다해서 상냥하게 이야기한 것이었는데, 짜증이 묻어나온 모양이었다.",mendelssohn,default,,,,,scenejan2_800,mendelssohn,1,,,,
scenejan2_8_choice,2,음식이 문제가 아니에요,,,,mendelssohn,default,,,,,scenejan2_800,mendelssohn,-1,,,,
scenejan2_800_choice,1,괜찮아요,,,,mendelssohn,default,,,,,scenejan2_9,mendelssohn,1,,,,
scenejan2_800_choice,2,책임지고 나를 즐겁게 해봐요,,,,mendelssohn,default,,,,,scenejan2_9,,,,,,
scenejan2_9_choice,1,"날 어떻게 어떻게 해보려는 거죠, 이 파렴치한!",mendelssohn,mendelssohn,네? 아니에요! 좀 그래 보이긴 하지만 진짜 아니라고요!,mendelssohn,default,,,,,,mendelssohn,-1,,,,
scenejan2_9_choice,2,"무섭게 왜 이래요, 나 오늘 여기 생매장당하는 거예요?",mendelssohn,mendelssohn,저를 뭘로 보고 그러시는 거예요… 농담이 지나치세요. 털끝 하나도 손 안 대요.,mendelssohn,default,,,,,,mendelssohn,-1,,,,
scenejan2_9_choice,3,"여기는 왜 온 거예요, 진짜로?",,,,mendelssohn,default,,,,,,,,,,,
scenejan2_10_choice,1,왜 조용한 곳을 찾았어요?,mendelssohn,mendelssohn,제가 살던 곳은 파리보다 훨씬 조용했거든요. 그래서 사람들에 둘러싸여 있는 게 기가 빨릴 때면 조용한 곳으로 숨고 싶어서요.,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan2_10_choice,2,여기 자주 왔어요?,mendelssohn,mendelssohn,가끔요. 하늘이 맑고 기분이 내킬 때요.,mendelssohn,default,,,,,,,,,,,
scenejan2_11_choice,1,별이요?,,,,mendelssohn,default,,,,,scenejan2_13,,,,,,
scenejan2_11_choice,2,내 이름이요?,,,,mendelssohn,default,,,,,scenejan2_12,mendelssohn,1,,,,
scenejan2_13_choice,1,내가 가르쳐 줄게요,,,,mendelssohn,default,,,,,scenejan2_14,mendelssohn,1,,,,
scenejan2_13_choice,2,멘델스존 씨는 배는 타면 안 되겠어요,,,,mendelssohn,default,,,,,scenejan2_15,,,,,,
scenejan2_15_choice,1,잘 어울리네요. 살림도 잘 할 것 같아요.,mendelssohn,mendelssohn,배우면 잘 할 자신은 있어요.,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan2_15_choice,2,자기가 오매불망 한 사람만 바라보는 순정남이라고 주장하는 거예요?,mendelssohn,mendelssohn,아니 무슨…! 아니거든요. 순정이라기보다는 신의를 지키는 그런 사람이란 뜻이죠.,mendelssohn,default,,,,,,,,,,,
scenejan2_15_choice,3,당신 같은 부인이 집에 있으면 뱃사람들이 배를 안 타죠.,mendelssohn,mendelssohn,"못하는 말이 정말 없으세요, 베시에르 양…",mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan2_16_choice,1,좋다.,mendelssohn,mendelssohn,"맞아요, 좋아요.",mendelssohn,default,,,,,,,,,,,
scenejan2_16_choice,2,...,mendelssohn,mendelssohn,"당신도, 멘델스존도 아무 말 없이 침묵 속에서 하늘을 바라본다.",mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan2_17_choice,1,그래도 무도회는 정말 별로였어요,,,,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan2_17_choice,2,무도회? 내가 오늘 무도회를 다녀왔던가요?,,,,mendelssohn,default,,,,,,,,,,,
scenejan2_20_choice,1,무도회장을 구경한다,,,,,,,,,,,,,,,,
scenejan2_21_choice,1,"네, 네… 맞아요. 죄송해요, 표를 샀는데 잃어버려서…",,,,liszt,default,,,,,scenejan2_22,,,,,,
scenejan2_21_choice,2,왜 이렇게 늦게 왔어? 못 들어갈 뻔했잖아!,,,,liszt,default,,,,,scenejan2_23,liszt,1,,,,
scenejan2_23_choice,1,"괜찮아, 오히려 내가 고맙지",liszt,liszt,레이디가 곤경에 처한 걸 가만 두고 보고 있을 수는 없잖아.,liszt,default,,,,,scenejan2_25,liszt,1,,,,
scenejan2_23_choice,2,내가 누군지는 알고서 도와주는 거야??,,,,liszt,default,,,,,scenejan2_24,,,,,,
scenejan2_25_choice,1,싫은데,,,,liszt,default,,,,,scenejan2_26,,,,,,
scenejan2_25_choice,2,그러면 당신이 안내해 주면 되지?,,,,liszt,default,,,,,scenejan2_26,liszt,1,,,,
scenejan2_25_choice,3,걱정해 주는 거야?,,,,liszt,default,,,,,scenejan2_27,liszt,1,,,,
scenejan2_28_choice,1,유부녀야?,,,,liszt,default,,,,,scenejan2_29,,,,,,
scenejan2_28_choice,2,어떤 여자야?,,,,liszt,default,,,,,scenejan2_30,liszt,1,,,,
scenejan2_28_choice,3,그 여자랑은 오래 알고 지낸 사이?,,,,liszt,default,,,,,scenejan2_31,,,,,,
scenejan2_32_choice,1,됐어,liszt,liszt,싫어? 안됐네. 알려주고 싶어졌어. 하인리히야.,liszt,default,,,,,scenejan2_33,,,,,,
scenejan2_32_choice,2,알려줘,liszt,liszt,하인리히라고 불러.,liszt,default,,,,,scenejan2_33,liszt,1,,,,
scenejan2_34_choice,1,다들 그럴 때가 있지,,,,liszt,default,,,,,,,,,,,
scenejan2_34_choice,2,비밀 잘 지켜줄게,,,,liszt,default,,,,,,,,,,,
scenejan2_34_choice,3,더 해도 돼,,,,liszt,default,,,,,,liszt,1,,,,
scenejan2_35_choice,1,금방이라도 눈물을 터뜨릴 것 같아,,,,liszt,default,,,,,,liszt,1,,,,
scenejan2_35_choice,2,많이 지친 것 같아 보여,,,,liszt,default,,,,,,,,,,,
scenejan2_35_choice,3,희망을 놓지 않으려 애쓰는 것 같아,,,,liszt,default,,,,,,,,,,,
scenejan2_36_choice,1,"됐어, 흥미 없어",,,,liszt,default,,,,,scenejan2_37,,,,,,set mld as 0
scenejan2_36_choice,2,좋아,,,,liszt,default,,,,,scenejan2_38,liszt,1,,,,
scenejan2_38_choice,1,궁금했어,liszt,liszt,그럴 것 같았어. 따분한 일상을 살다 보면 이런 데가 끌리지.,liszt,default,,,,,,,,,,,
scenejan2_38_choice,2,당신 같은 남자를 만날까 기대했지,,,,liszt,default,,,,,scenejan2_39,,,,,,
scenejan2_38_choice,3,"모르겠어, 내가 미쳤었나 봐",,,,liszt,default,,,,,scenejan2_40,liszt,2,,,,
scenejan2_41_choice,1,4,,,,liszt,default,,,,,scenejan2_42,liszt,1,,,,set bet as 4
scenejan2_41_choice,2,7,,,,liszt,default,,,,,scenejan2_43,liszt,-1,,,,set bet as 7
scenejan2_41_choice,3,9,,,,liszt,default,,,,,scenejan2_44,,,,,,set bet as 9
scenejan2_41_choice,4,5,,,,,,,,,,scenejan2_42_2,,,,,,set bet as 5
scenejan2_41_choice,5,6,,,,,,,,,,scenejan2_43_2,,,,,,set bet as 6
scenejan2_41_choice,6,10,,,,,,,,,,scenejan2_44_2,,,,,,set bet as 10
scenejan2_45_choice,1,말도 안 되는 소리,,,,liszt,default,,,,,scenejan2_46,liszt,-1,,,,set diceblow as 0
scenejan2_45_choice,2,줘 봐,,,,liszt,default,,,,,scenejan2_46_1,liszt,1,,,,set diceblow as 1
scenejan2_46_choice,1,괜히 잘 알지도 못하면서 거기다가 베팅하라고 해서 미안해,,,,liszt,default,,,,,scenejan2_49,liszt,1,,,,
scenejan2_47_choice,2,운이 없었네,,,,liszt,default,,,,,scenejan2_49,,,,,,
scenejan2_47_choice,1,괜히 잘 알지도 못하면서 거기다가 베팅하라고 해서 미안해,,,,liszt,default,,,,,scenejan2_49,liszt,1,,,,
scenejan2_46_choice,2,운이 없었네,,,,liszt,default,,,,,scenejan2_49,,,,,,
scenejan2_50_choice,1,리스트와 함께 도망친다,,,,liszt,default,,,,,scenejan2_52,liszt,2,,,,
scenejan2_50_choice,2,오른쪽 출구로 도망친다,,,,liszt,default,,,,,scenejan2_51,,,,,,
scenejan2_52_choice,1,당신도 벗는다,,,,liszt,default,,,,,scenejan2_53,liszt,1,,,,set mld as 1
scenejan2_52_choice,2,벗지 않는다,,,,liszt,default,,,,,scenejan2_54,,,,,,set mld as 2
scenejan2_51_choice,1,혼자서 어떻게든 해 본다,,,,,,,,,,scenejan2_99,,,,,,
scenejan2_51_choice,2,멘델스존에게 도움을 요청한다,,,,,,,,,,scenejan2_56,mendelssohn,1,,,,
scenejan2_56_choice,1,신원을 밝힌다,,,,mendelssohn,default,,,,,scenejan2_57,mendelssohn,1,,,,
scenejan2_56_choice,2,신원을 밝히지 않는다,,,,mendelssohn,default,,,,,scenejan2_78,,,,,,
scenejan2_57_choice,1,가르치려고 들지 말아요,,,,mendelssohn,default,,,,,scenejan2_57_1,mendelssohn,-1,,,,
scenejan2_57_choice,2,알고 한 거예요,,,,mendelssohn,default,,,,,scenejan2_57_1,,,,,,
scenejan2_57_choice,3,이 정도로 위험할 줄은 몰랐죠,,,,mendelssohn,default,,,,,scenejan2_57_1,mendelssohn,1,,,,
scenejan2_58_choice,1,듣지 마요,,,,mendelssohn,default,,,,,scenejan2_59,,,,,,
scenejan2_58_choice,2,뭐라는 거야 뇌 빠진 새끼들이,,,,mendelssohn,default,,,,,scenejan2_60,mendelssohn,1,,,,
scenejan2_58_choice,3,당신 안 더러워요,,,,mendelssohn,default,,,,,scenejan2_61,,,,,,
scenejan2_58_choice,4,당신 유대인 아닌 거 알아요,,,,mendelssohn,default,,,,,scenejan2_62,mendelssohn,2,,,,
scenejan2_58_choice,5,반응하지 않는다,,,,mendelssohn,default,,,,,scenejan2_63,mendelssohn,-1,,,,
scenejan2_63_choice,1,굳어버린다,,,"당신이 굳어 있는 사이,",mendelssohn,default,,,,,,,,,,,
scenejan2_63_choice,2,받아친다,,me,난 잘 놀다 왔죠. 당신은…술냄새가 나네? 당신 취했어?!,mendelssohn,default,,,,,,mendelssohn,1,,,,
scenejan2_64_choice,1,싫지 않아요. 당신이 몰래 따라오기를 기대했는데 안 오더라구.,mendelssohn,mendelssohn,정말로? 그럼 이래도 돼?,mendelssohn,default,,,,,scenejan2_66,,,,,,
scenejan2_64_choice,2,"이래서 싫은 거예요, 이래서!",,me,당신이 껌딱지처럼 달라붙잖아. 민망하게 뭐하는 짓이에요!,mendelssohn,default,,,,,scenejan2_65,,,,,,
scenejan2_66_choice,1,이만하면 분이 풀렸다,,,,mendelssohn,default,,,,,scenejan2_67,mendelssohn,1,,,,
scenejan2_66_choice,2,분이 풀리지 않았다,,,,mendelssohn,default,,,,,scenejan2_68,,,,,,
scenejan2_69_choice,1,보기보다 연기에 소질 있네요?,mendelssohn,mendelssohn,"아아, 제발 이러지 마요… 부끄러워 죽겠어요.",mendelssohn,default,,,,,scenejan2_72,,,,,,
scenejan2_69_choice,2,"이제 와서 부끄러워요, ‘여보’?",,,,mendelssohn,default,,,,,scenejan2_70,,,,,,
scenejan2_69_choice,3,괜찮아요,,,,mendelssohn,default,,,,,scenejan2_71,mendelssohn,1,,,,
scenejan2_72_choice,1,아-완전 샤프롱 같은 소리 좀 그만해요! 이따가 또 들을 이야기라고요,,,,mendelssohn,default,,,,,scenejan2_73,mendelssohn,-1,,,,
